Artifact,Type,Tool
*.screenmeet.com,domain,ScreenMeet
*.todesk.com,domain,ToDesk
beanywhere.com,domain,BeAnywhere
51.255.19.179,ip,Unknown
remoteutilities.com,domain,RemoteUtilities
*.dms.zoho.com,domain,ManageEngine
*.mspbackups.com,domain,MSP360
*.opti-tune.com,domain,OptiTune
*.my.auvik.com,domain,Auvik
*.assist.jumpcloud.com,domain,Jump Cloud
kickidler.com,domain,KickIdler
kabutoservices.com,domain,Syncro
*.rview.com,domain,RemoteView
pubsub.pubnub.com,domain,Atera
online.level.io,domain,Level.io
*content.rview.com,domain,RemoteView
*.beinsync.com,domain,BeInSync
downloads.zohocdn.com,domain,Zoho Assist
agenthb.atera.com,domain,Atera
bluetrait.io,domain,Bluetrait
*.remotedesktop.com,domain,RemotePC
servably.com,domain,Syncro
app.pdq.com,domain,PDQ Connect
gw.remotix.com,domain,Acronis Cyber Protect
assist.zoho.com,domain,Zoho Assist
*.beanywhere.com,domain,N-Able
01com.com/imintouch-remote-pc-desktop,url,Im InTouch
*.api.jumpcloud.com,domain,Jump Cloud
web.rustdesk.com,domain,RustDesk
agents.addigy.com,domain,Addigy
*.beyondtrustcloud.com,domain,BeyondTrust
*setme.net,domain,FixMe.it
pilixo.com,domain,Pilixo
acceo.com/turbomeeting/,url,TurboMeeting
control.connectwise.com,domain,ConnectWise Control
*.msp360.com,domain,MSP360
qq-messenger.en.softonic.com,url,QQ
router15.teamviewer.com,domain,TeamViewer
centuriontech.com,domain,Centurion
kabuto.io,domain,Syncro
*.action1.com,domain,Action1
systemmonitor.co.uk,domain,N-Able
*server.absolute.com,domain,Absolute
rmm.barracudamsp.com,domain,Barracuda RMM
*.startsupport.com,domain,RemoteCall
*.getgo.com,domain,GoToAssist
fixme.it,domain,FixMe.it
supremocontrol.com,domain,Supremo
*.connect.backdrop.cloud,domain,Netop Remote Control
docs.tacticalrmm.com,domain,Tactical RMM
*.desktopstreaming.com,domain,GoToAssist
app.kabuto.io,domain,Syncro
* .ultraviewer.net,domain,UltraViewer
naverisk.com,domain,Naverisk
*mygreenpc.com,domain,MyGreenPC
*.support.services.microsoft.com,domain,Microsoft Quick Assist
*cloudbackup.management,domain,N-Able
zoho.com/assist/,url,Zoho Assist
crossloop.en.softonic.com,url,CrossLoop
seetrol.co.kr,domain,Seetrol
helpu.co.kr,domain,HelpU
*.247ithelp.com,domain,247ithelp.com
*.mikogo4.com,domain,Mikogo
*.zoho.com.au,domain,Zoho Assist
*remotedesktop-pa.googleapis.com,domain,Chrome Remote Desktop
*.api.splashtop.com,domain,Splashtop Remote
*.logmein.eu,domain,LogMeIn
logicnow.com,domain,N-Able
goto.com,domain,GoToAssist
remobo.en.softonic.com,url,Remobo
ultraviewer.net,domain,UltraViewer
*.netsupportmanager.com,domain,NetSupport Manager
asapi*.aweray.net,domain,AweRay
*set.me,domain,FixMe.it
agentreportingstore.blob.core.windows.net,domain,Atera
todesk.com,domain,ToDesk
*.kace.com,domain,Quest KACE Agent
level.io,domain,Level.io
*.superops.ai,domain,SuperOps
*.beamyourscreen.com,domain,BeamYourScreen
login.tailscale.com,domain,Tactical RMM
fortra.com,domain,Fortra
atled.syspectr.com,domain,Laplink Everywhere
*.fastsupport.com,domain,GoToAssist
netsupportmanager.com,domain,NetSupport Manager
ivanti.com,domain,LANDesk
136.243.104.235,ip,Unknown
*.bomgarcloud.com,domain,BeyondTrust
ultravnc.com,domain,UltraVNC
beamyourscreen.com,domain,BeamYourScreen
*.parallels.com,domain,Parallels Access
intelliadmin.com/remote-control,url,IntelliAdmin
*.zoho.com.cn,domain,Zoho Assist
crosstecsoftware.com/remotecontrol,url,CrossTec Remote Control
*.iperiusremote.com,domain,Iperius Remote
panorama9.com,domain,Panorama9
kaseya.com,domain,Kaseya
anyplace-control.com,domain,Anyplace Control
cfcdn.pdq.com,domain,PDQ Connect
*.kabutoservices.com,domain,Syncro
a1-backend-packages.s3.amazonaws.com,domain,Action1
auth*.aeroadmin.com,domain,AeroAdmin
*.analytics.insight.rapid7.com,domain,Rapid7
*.remotecall.com,domain,RemoteCall
*.senso.cloud,domain,Senso.cloud
*soti.net,domain,Pocket Controller
*.-dms.zoho.com.cn,domain,ManageEngine
systemmonitor.eu.com,domain,N-Able
skyfex.com,domain,SkyFex
*.zoho.eu,domain,Zoho Assist
*.islonline.com,domain,ISL Online
