Artifact,Type,Tool
awhost32.exe,filename,pcAnywhere
awrem32.exe,filename,pcAnywhere
basupsrvc.exe,filename,BeAnywhere
basupsrvcupdate.exe,filename,BeAnywhere
basuptshelper.exe,filename,BeAnywhere
beamyourscreen-host.exe,filename,BeamYourScreen
beamyourscreen.exe,filename,BeamYourScreen
bomgar-pac-*.exe,filename,BeyondTrust
bomgar-pac.exe,filename,BeyondTrust
bomgar-rdp.exe,filename,BeyondTrust
bomgar-scc-*.exe,filename,BeyondTrust
bomgar-scc.exe,filename,BeyondTrust
*\\Program Files (x86)\\mRemoteNG,filepath,mRemoteNG
*\\Program Files (x86)\\Sysprogs\\SmarTTY\\*,filepath,SmarTTY
*\\Program Files\\*\\Duplicati.Server.exe,filepath,Duplicati
cbb.exe,filename,MSP360
client32.exe,filename,NetSupport Manager
clientmrinit.exe,filename,Sophos
cloudflared.exe,filename,CloudFlare Tunnel
connectwise*.exe,filename,ScreenConnect
connectwisechat-customer.exe,filename,ConnectWise Control
connectwisecontrol.client.exe,filename,ConnectWise Control
crossloopservice.exe,filename,CrossLoop
csexec.exe,filename,CSExec (Sysinternals like)
ctes.exe,filename,Absolute
cteshostsvc.exe,filename,Absolute
ctespersitence.exe,filename,Absolute
ctiserv.exe,filename,Centurion
dcagentregister.exe,filename,ManageEngine
dcagentservice.exe,filename,ManageEngine
dd.exe,filename,Distant Desktop
ddsystem.exe,filename,Distant Desktop
desktopnow.exe,filename,DesktopNow
distant-desktop.exe,filename,Distant Desktop
dntus*.exe,filename,DameWare
domotz*.exe,filename,Domotz
domotz-windows*.exe,filename,Domotz
domotz.exe,filename,Domotz
domotz_bash.exe,filename,Domotz
dwagent.exe,filename,DW Service
dwagsvc.exe,filename,DW Service
dwrcs.exe,filename,DameWare
echoserver*.exe,filename,Echoware
echoware.dll,filename,Echoware
ehorus standalone.exe,filename,Pandora RC
ehorus_agent.exe,filename,Pandora RC
einstaller.exe,filename,ESET Remote Administrator
era.exe,filename,ESET Remote Administrator
eratool.exe,filename,ESET Remote Administrator
ericomconnnectconfigurationtool.exe,filename,Ericom Connect
ezHelpManager.exe,filename,ezHelp
ezhelp*.exe,filename,ESET Remote Administrator
ezhelpclient.exe,filename,ezHelp
ezhelpclientmanager.exe,filename,ezHelp
fastclient.exe,filename,FastViewer
fastmaster.exe,filename,FastViewer
fixmeitclient.exe,filename,FixMe.it
fleetdeck_agent.exe,filename,FleetDeck.io
fleetdeck_agent_svc.exe,filename,FleetDeck.io
fleetdeck_commander_launcher.exe,filename,FleetDeck.io
fleetdeck_commander_svc.exe,filename,FleetDeck.io
fleetdeck_installer.exe,filename,FleetDeck.io
g2a*.exe,filename,GoToAssist
getscreen.exe,filename,GetScreen
gotoassist.exe,filename,GoToAssist
gotohttp.exe,filename,GotoHTTP
goverrmc.exe,filename,Goverlan
govsrv*.exe,filename,Goverlan
gp3.exe,filename,GatherPlace
gp4.exe,filename,GatherPlace
gp5.exe,filename,GatherPlace
grabberEM.*msi,filename,GoToMyPC
